DEP;P12_HNSCOL15P_DIPL0;P12_FNSCOL15P_DIPL0
02; 39,133561644; 65,22260274
02; 34,929346743; 27,943477395
02; 36,947368421; 24,631578947
02; 3,041666667; 1,013888889
02; 23,0; 16,0
02; 45,300823731; 58,943082504
02; 22,662756598; 24,633431085
02; 28,920984401; 24,100820334
02; 18,0; 22,0
02; 56,461778471; 43,806552262
02; 15,0; 17,0
02; 44,443807374; 51,3351169
02; 146,776595745; 141,784194529
02; 5,766233766; 6,727272727
02; 13,287292818; 13,287292818
02; 7,0; 1,0
02; 2,167539267; 3,251308901
02; 19,66023166; 23,799227799
02; 57,915895346; 57,920269695
02; 23,838274933; 13,002695418
02; 12,0; 23,0
02; 47,864978903; 60,828410689
02; 33,0; 36,0
02; 10,15625; 4,0625
02; 50,185265882; 62,249851749
02; 25,0; 20,0
02; 107,245174075; 105,080759424
02; 38,294407895; 38,294407895
02; 18,311743789; 16,27710559
02; 32,0; 23,0
02; 20,967741935; 12,580645161
02; 0,970588235; 0,970588235
02; 2,98019802; 3,97359736
02; 27,0; 20,0
02; 11,488888889; 4,177777778
02; 97,0; 103,0
02; 7,044776119; 7,925373134
02; 20,523596871; 37,379423213
02; 2,776119403; 2,776119403
02; 14,0; 12,0
02; 70,0; 56,0
02; 135,002712338; 19,04614749
02; 12,0; 9,0
02; 4,0; 9,0
02; 8,756756757; 11,675675676
02; 25,109144543; 15,244837758
02; 161,902787456; 201,785166678
02; 133,0; 128,0
02; 72,0; 74,0
02; 17,524229075; 16,550660793
02; 5,999787993; 4,999769895
02; 40,0; 46,0
02; 199,896567623; 289,715574657
02; 4,169014085; 7,295774648
02; 94,0; 105,0
02; 37,427135678; 36,442211055
02; 8,0; 10,0
02; 8,0; 9,0
02; 5,0; 7,0
02; 3,517241379; 5,862068966
02; 6,676923077; 2,861538462
02; 17,628318584; 31,339233038
02; 8,784; 2,928
02; 11,455172414; 5,206896552
02; 14,0; 11,0
02; 28,865248227; 19,243498818
02; 35,436408978; 40,498753117
02; 20,391198044; 18,35207824
02; 51,0; 53,0
02; 25,128865979; 22,229381443
02; 16,789237668; 7,34529148
02; 12,210526316; 12,210526316
02; 78,211729134; 69,978915541
02; 6,0; 11,0
02; 4,0; 5,0
02; 17,93814433; 20,927835052
02; 36,162406015; 33,14887218
02; 16,0; 13,0
02; 10,928104575; 14,901960784
02; 11,0; 16,0
02; 2,918918919; 4,864864865
02; 22,448979592; 21,428571429
02; 17,0; 16,0
02; 57,328611898; 51,498583569
02; 10,0; 12,0
02; 28,234604106; 31,15542522
02; 1,023809524; 1,023809524
02; 34,702380952; 29,744897959
02; 21,546875; 13,338541667
02; 15,818181818; 12,852272727
02; 27,065693431; 25,060827251
02; 26,089655172; 21,072413793
02; 9,0; 12,0
02; 81,417636397; 73,474452358
02; 58,0; 66,0
02; 31,328912467; 34,360742706
02; 27,806325825; 18,868578239
02; 172,170305752; 172,854806662
02; 18,909738717; 23,885985748
02; 102,293814433; 126,649484536
02; 46,0; 53,0
02; 7,0; 7,0
02; 88,96069869; 88,96069869
02; 63,427357466; 76,4103835
02; 5,617283951; 4,49382716
02; 160,107584284; 208,139316887
02; 48,245583039; 46,192579505
02; 14,804560261; 19,739413681
02; 25,887096774; 15,532258065
02; 20,0; 17,0
02; 238,109485924; 328,323063214
02; 283,0; 342,0
02; 53,56460177; 69,015929204
02; 195,708019817; 219,520733657
02; 54,752988048; 42,585657371
02; 39,4265625; 40,4375
02; 20,0; 7,0
02; 8,0; 7,0
02; 81,0; 78,0
02; 42,53164557; 45,569620253
02; 119,216124726; 157,994178727
02; 4,744525547; 11,386861314
02; 12,0; 19,0
02; 133,0; 155,0
02; 58,448598131; 43,588785047
02; 11,2; 16,290909091
02; 49,377565251; 63,817342472
02; 16,293193717; 20,366492147
02; 6,0; 7,0
02; 15,330882353; 15,330882353
02; 18,322869955; 11,197309417
02; 32,533333333; 30,561616162
02; 16,0; 9,0
02; 32,343470483; 23,24686941
02; 25,0; 24,0
02; 28,893611252; 22,695028896
02; 16,0; 11,0
02; 16,429104478; 18,361940299
02; 20,128205128; 12,076923077
02; 310,745711403; 306,643457787
02; 15,695238095; 12,752380952
02; 50,646534653; 56,604950495
02; 14,783653846; 16,754807692
02; 19,083969466; 24,809160305
02; 50,484848485; 47,515151515
02; 179,733700506; 227,542633663
02; 116,168661221; 152,05911466
02; 110,536552325; 143,105539225
02; 25,261324042; 25,261324042
02; 6,488888889; 9,733333333
02; 5,376623377; 4,480519481
02; 1,8; 5,4
02; 1,957446809; 0,978723404
02; 50,550660793; 58,480176211
02; 37,879049676; 25,593952484
02; 18,398230088; 15,331858407
02; 7,0; 7,0
02; 12,078947368; 16,105263158
02; 4,834710744; 7,73553719
02; 50,65070223; 59,589061447
02; 19,373770492; 15,295081967
02; 6,0; 3,0
02; 50,7239636; 40,391304348
02; 12,730569948; 15,668393782
02; 1,0; 3,0
02; 15,077922078; 10,051948052
02; 64,267618198; 68,413916146
02; 145,060509554; 158,875796178
02; 589,645029421; 729,801641178
02; 15,879245283; 13,894339623
02; 49,272875999; 50,299966635
02; 7,85520362; 8,837104072
02; 19,480519481; 22,402597403
02; 15,104166667; 19,131944444
02; 33,450511945; 38,518771331
02; 25,0; 30,0
02; 46,407079646; 38,336283186
02; 103,691292398; 105,564813103
02; 25,80156658; 24,845953003
02; 13,0; 16,0
02; 80,0; 84,0
02; 7,668639053; 13,420118343
02; 16,897590361; 12,921686747
02; 5,921052632; 5,921052632
02; 13,907724904; 13,907724904
02; 25,224480299; 18,153512945
02; 0,96969697; 0,96969697
02; 317,0; 409,0
02; 250,0; 340,0
02; 121,0; 199,0
02; 119,0; 158,0
02; 58,413404069; 65,463297663
02; 69,276184123; 84,336224149
02; 4,32; 1,08
02; 15,537572254; 16,50867052
02; 16,958677686; 12,247933884
02; 49,73271028; 42,628037383
02; 15,357142857; 15,357142857
02; 45,000390901; 46,999936207
02; 11,476363636; 15,301818182
02; 4,036199095; 12,108597285
02; 22,642857143; 29,534161491
02; 4,189189189; 16,756756757
02; 7,0; 3,0
02; 3,096774194; 8,258064516
02; 94,0; 88,0
02; 18,251748252; 21,293706294
02; 40,0; 35,0
02; 10,853333333; 11,84
02; 14,68627451; 9,441176471
02; 2,884615385; 2,884615385
02; 27,287234043; 28,29787234
02; 15,754189944; 25,206703911
02; 38,0; 40,0
02; 9,139534884; 4,062015504
02; 9,657142857; 6,76
02; 303,04355602; 386,2413149
02; 186,406929152; 270,974636024
02; 105,489165374; 148,043240933
02; 453,422769324; 337,804749615
02; 77,22760253; 100,602075074
02; 60,964205204; 69,093302251
02; 124,79792032; 191,909747352
02; 153,806227866; 279,586052822
02; 135,214964545; 132,024273957
02; 11,989682828; 10,775708911
02; 245,236409071; 321,857652635
02; 157,28717757; 235,736854636
02; 21,070469799; 27,090604027
02; 13,194805195; 10,995670996
02; 12,816901408; 8,873239437
02; 7,0; 3,0
02; 18,0; 14,0
02; 15,213270142; 20,28436019
02; 16,603773585; 7,264150943
02; 51,766292135; 40,815730337
02; 14,382978723; 16,595744681
02; 9,259615385; 13,375
02; 28,155326898; 20,705166006
02; 30,215568862; 34,244311377
02; 3,951807229; 2,963855422
02; 78,036719706; 87,157894737
02; 32,0; 33,0
02; 10,0; 6,0
02; 13,133280995; 15,17744862
02; 36,617900172; 35,628227194
02; 20,502687055; 14,39169905
02; 7,265822785; 4,151898734
02; 7,0625; 7,0625
